PRN             t(GNSS TIME)/s                 X/m                 Y/m                 Z/m               toe/s
G01             17400.00000000   13715930.73652907  -17551814.35056135   14014111.47300896       3000.00000000
G01             17700.00000000   13654215.23888685  -16990797.67510907   14745751.70253466       3300.00000000
G01             18000.00000000   13597320.35037343  -16401875.34522333   15448368.81061612       3600.00000000
G01             18300.00000000   13546527.75031894  -15786164.33436861   16120579.96192117       3300.00000000
G01             18600.00000000   13503060.75918788  -15144877.10313431   16761064.68913428       3000.00000000
G01             18900.00000000   13468077.89667937  -14479318.60954920   17368566.21636940       2700.00000000
G01             19200.00000000   13442667.52227871  -13790880.07021090   17941895.00540663       2400.00000000
G01             19500.00000000   13427842.47529691  -13081033.72175038   18479931.03212255       2100.00000000
G01             19800.00000000   13424535.14046080  -12351326.95614198   18981626.10233053       1800.00000000
G01             20100.00000000   13433592.90265863  -11603376.12684230   19446005.99549724       1500.00000000
G01             20400.00000000   13455774.01202740  -10838860.05539170   19872172.43122460       1200.00000000
G01             20700.00000000   13491743.87842887  -10059513.26952383   20259304.85403242        900.00000000
G01             21000.00000000   13542071.81212747   -9267119.00506176   20606662.03263619        600.00000000
G01             21300.00000000   13607228.22517101   -8463502.00492786   20913583.47058154        300.00000000
G01             21600.00000000   13687582.30559826   -7650521.14945367   21179490.62576722          0.00000000
G01             21900.00000000   13783400.17417274   -6830061.95284324   21403887.93705912        300.00000000
G01             22200.00000000   13894843.53088332   -6004028.96111608   21586363.65686378        600.00000000
G01             22500.00000000   14021968.79597604   -5174338.08713430   21726590.48918739        900.00000000
G01             22800.00000000   14164726.74780306   -4342908.91840404   21824326.03335226       1200.00000000
G01             23100.00000000   14322962.65730766   -3511657.03323559   21879413.03417263       1500.00000000
G01             23400.00000000   14496416.91652473   -2682486.36055389   21891779.44000361       1800.00000000
G01             23700.00000000   14684726.15607734   -1857281.61817635   21861438.27066630       2100.00000000
G01             24000.00000000   14887424.84430502   -1037900.86372401   21788487.29781748       2400.00000000
G01             24300.00000000   15103947.35838163    -226168.19151210   21673108.54087065       2700.00000000
G01             24600.00000000   15333630.51558136     576133.39221537   21515567.58208389       3000.00000000
G01             24900.00000000   15575716.55074214    1367268.88447486   21316212.70490805       3300.00000000
G01             25200.00000000   15829356.52396570    2145557.96120054   21075473.86013472       3600.00000000
G01             25500.00000000   16093614.10966880    2909381.56341740   20793861.46249431       3300.00000000
G01             25800.00000000   16367469.95420064    3657187.27440473   20471965.06622859       3000.00000000
G01             26100.00000000   16649826.01533743    4387496.24049929   20110451.74641803       2700.00000000
G01             26400.00000000   16939510.67214732    5098907.85394868   19710064.52003417       2400.00000000
G01             26700.00000000   17235283.93562114    5790105.02777298   19271620.50452667       2100.00000000
G01             27000.00000000   17535843.00478791    6459858.89182601   18796008.96669234       1800.00000000
G01             27300.00000000   17839828.09512341    7107033.08505990   18284189.24067175       1500.00000000
G01             27600.00000000   18145828.51169258    7730587.62806053   17737188.52191531       1200.00000000
G01             27900.00000000   18452388.93864542    8329582.36197742   17156099.54409070        900.00000000
G01             28200.00000000   18758015.91601224    8903179.94205607   16542078.14600095        600.00000000
G01             28500.00000000   19061184.47421519    9450648.37608246   15896340.73564917        300.00000000
G01             28800.00000000   19360344.89632839    9971363.10015789   15220161.65862110          0.00000000
G01             29100.00000000   19653929.57787721   10464808.58632686   14514870.47796461        300.00000000
G01             29400.00000000   19940359.95386326   10930579.47867169   13781849.17272549        600.00000000
G01             29700.00000000   20218053.46273530   11368381.25655565   13022529.26225391        900.00000000
G01             30000.00000000   20485430.51719015   11778030.42573225   12238388.86332772       1200.00000000
G01             30300.00000000   20740921.45197955   12159454.24003436   11430949.68704892       1500.00000000
G01             30600.00000000   20982973.41931304   12512689.95830474   10601773.98236015       1800.00000000
G01             30900.00000000   21210057.20297735   12837883.64312273    9752461.43290040       2100.00000000
G01             31200.00000000   21420673.92293500   13135288.50971302    8884646.01377676       2400.00000000
G01             31500.00000000   21613361.60291160   13405262.83518676    7999992.81467151       2700.00000000
G01             31800.00000000   21786701.57432725   13648267.43995663    7100194.83553517       3000.00000000
G01             32100.00000000   21939324.69086634   13864862.75478098    6186969.76093752       3300.00000000
G01             32400.00000000   22069917.32900393   14055705.48842488    5262056.71896104       3600.00000000
G01             32700.00000000   22177227.22982931   14221544.73401932    4327213.23375348       3300.00000000
G01             33000.00000000   22260068.67720884   14363218.56791518    3384211.18777588       3000.00000000
G01             33300.00000000   22317328.21725468   14481648.66651373    2434834.68718750       2700.00000000
G01             33600.00000000   22347969.24198083   14577836.14442699    1480876.10674841       2400.00000000
G01             33900.00000000   22351036.67562833   14652856.36223353     524133.01939546       2100.00000000
G01             34200.00000000   22325661.23920945   14707853.58725049    -433595.02510188       1800.00000000
G01             34500.00000000   22271063.36278084   14744035.39527077   -1390509.70131466       1500.00000000
G01             34800.00000000   22186556.73128036   14762666.83725262   -2344817.08486383       1200.00000000
G01             35100.00000000   22071551.45127299   14765064.39564339   -3294730.80056035        900.00000000
G01             35400.00000000   21925556.82748463   14752589.75562000   -4238475.13805507        600.00000000
G01             35700.00000000   21748183.73955546   14726643.41703133   -5174288.13125133        300.00000000
G01             36000.00000000   21539146.61100957   14688658.17323668   -6100424.59790202          0.00000000
G01             36300.00000000   21298264.96401141   14640092.48334899   -7015159.13597098        300.00000000
G01             36600.00000000   21025464.55505636   14582423.76461368   -7916789.07348842        600.00000000
G01             36900.00000000   20720778.08831866   14517141.63178382   -8803637.36876987        900.00000000
G01             37200.00000000   20384345.50495058   14445741.11039358   -9674055.45799687       1200.00000000
G01             37500.00000000   20016413.84818629   14369715.85078448  -10526426.04727760       1500.00000000
G01             37800.00000000   19617336.70565261   14290551.36960412  -11359165.84641228       1800.00000000
G01             38100.00000000   19187573.23181694   14209718.34527964  -12170728.24168633       2100.00000000
G01             38400.00000000   18727686.75501290   14128665.99366578  -12959605.90509955       2400.00000000
G01             38700.00000000   18238342.97496773   14048815.54968557  -13724333.33751516       2700.00000000
G01             39000.00000000   17720307.75821340   13971553.88032044  -14463489.34327670       3000.00000000
G01             39300.00000000   17174444.54018903   13898227.25376848  -15175699.43389464       3300.00000000
G01             39600.00000000   16601711.88920840   13830135.27353840  -15859638.09700930       3584.00000000
G01             39900.00000000   16003157.99639607   13768525.12494939  -16514031.32965612       3284.00000000
G01             40200.00000000   15379920.17160678   13714585.76798496  -17137658.34552349       2984.00000000
G01             40500.00000000   14733218.66621331   13669442.72161213  -17729354.01953796       2684.00000000
G01             40800.00000000   14064352.81500889   13634152.91595133  -18288010.80689827       2384.00000000
G01             41100.00000000   13374696.33867952   13609699.88033080  -18812580.67259536       2084.00000000
G01             41400.00000000   12665692.35137945   13596989.24012288  -19302076.93392677       1784.00000000
G01             41700.00000000   11938848.09218270   13596844.54034214  -19755576.01371607       1484.00000000
G01             42000.00000000   11195729.40020720   13610003.41284377  -20172219.10193229       1184.00000000
G01             42300.00000000   10437954.95417547   13637114.10276336  -20551213.72338395        884.00000000
G01             42600.00000000    9667190.29808158   13678732.36858613  -20891835.20914022        584.00000000
G01             42900.00000000    8885141.67547809   13735318.76892915  -21193428.06930765        284.00000000
G01             43200.00000000    8093548.82599322   13807236.27585036  -21455407.35177927          0.00000000
G01             43500.00000000    7294181.96725423   13894748.64817493  -21677259.45274859        300.00000000
G01             43800.00000000    6488830.03673746   13998018.53690585  -21858543.72916006        600.00000000
G01             44100.00000000    5679297.42118753   14117106.68402651  -21998893.07789389        900.00000000
G01             44400.00000000    4867396.34616713   14251971.22676104  -22098014.87449955       1200.00000000
G01             44700.00000000    4054940.07348381   14402467.50035002  -22155691.70310262       1500.00000000
G01             45000.00000000    3243736.08260475   14568348.27872386  -22171781.97054369       1800.00000000
G01             45300.00000000    2435579.26273563   14749264.45414800  -22146220.40228912       2100.00000000
G01             45600.00000000    1632245.14239654   14944766.15526213  -22079018.41767627       2400.00000000
G01             45900.00000000     835483.18339454   15154304.30126317  -21970264.38209015       2700.00000000
G01             46200.00000000      47010.16606707   15377232.58829190  -21820123.73371686       3000.00000000
G01             46500.00000000    -731496.30744978   15612809.90238185  -21628838.98258209       3300.00000000
G01             46800.00000000   -1498402.73609429   15860203.27634162  -21396729.75349151       3584.00000000
G01             47100.00000000   -2252131.65331355   16118490.61661046  -21124191.81396369       3284.00000000
